ID,Revision,Text,Location,Section,Context,Actor,Voice Actor,Old Revision,Old Text,Old Translation,New Translation,Gender,Status,Warnings,Non-critical warnings,Lua Revision: 200231 Assets Revision: 33787
1000001,194283,Common,CommonLua/Classes/ComponentObject.lua(00015),,,,,,,,一般,,OK,,
1000006,194283,Default,CommonLua/Core/EngineOptions.lua(00012),,options refresh rate,,,,,,預設,,OK,,
1000007,194283,Borderless,CommonLua/Core/EngineOptions.lua(00411),,Options dialog resolution setting,,,,,,視窗化全螢幕,,OK,,
1000008,194283,Fullscreen,CommonLua/Core/EngineOptions.lua(00416),,Options dialog resolution setting,,,,,,全螢幕,,OK,,
1000009,194283,Windowed,CommonLua/Core/EngineOptions.lua(00421),,Options dialog resolution setting,,,,,,視窗,,OK,,
1000010,194283,<arg1> x <arg2>,CommonLua/Core/EngineOptions.lua(00595),,,,,,,,<arg1>x<arg2>,,OK,,
1000011,194283,Off,CommonLua/Core/EngineOptions.lua(00631),,,,,,,,關閉,,OK,,
1000012,194283,Easy,CommonLua/Core/EngineOptions.lua(00733),,,,,,,,簡單,,OK,,
1000013,194283,Medium,CommonLua/Core/EngineOptions.lua(00734),,,,,,,,中等,,OK,,
1000014,194283,Hard,CommonLua/Core/EngineOptions.lua(00735),,,,,,,,困難,,OK,,
1000015,194283,Insane,CommonLua/Core/EngineOptions.lua(00736),,,,,,,,瘋狂,,OK,,
1000016,194283,Window Mode,CommonLua/Core/EngineOptions.lua(00747),,,,,,,,顯示模式,,OK,,
1000017,194283,Choose a window mode for the game,CommonLua/Core/EngineOptions.lua(00747),,options dialog tooltip,,,,,,選擇遊戲顯示模式,,OK,,
1000018,194283,Display Resolution,CommonLua/Core/EngineOptions.lua(00750),,,,,,,,螢幕解析度,,OK,,
1000019,194283,Choose a display resolution for the game,CommonLua/Core/EngineOptions.lua(00750),,options dialog tooltip,,,,,,選擇螢幕解析度,,OK,,
1000020,194283,Screen Refresh Rate,CommonLua/Core/EngineOptions.lua(00753),,,,,,,,螢幕更新率,,OK,,
1000021,194283,Choose a refresh rate for your monitor,CommonLua/Core/EngineOptions.lua(00753),,options dialog tooltip,,,,,,選擇螢幕更新率,,OK,,
1000022,194283,VSync,CommonLua/Core/EngineOptions.lua(00756),,,,,,,,垂直同步,,OK,,
1000023,194283,Synchronize the game frame rate with the monitor refresh rate,CommonLua/Core/EngineOptions.lua(00756),,options dialog tooltip,,,,,,使幀率和螢幕更新率同步,,OK,,
1000024,194283,Detail Level,CommonLua/Core/EngineOptions.lua(00760),,,,,,,,細節等級,,OK,,
1000025,194283,Choose a predefined visual quality level,CommonLua/Core/EngineOptions.lua(00760),,options dialog tooltip,,,,,,選擇內定的圖像品質等級,,OK,,
1000027,194283,Choose the render size to be upscaled to the game resolution,CommonLua/Core/EngineOptions.lua(00763),,options dialog tooltip,,,,,,選擇提高遊戲解析度的繪圖尺寸,,OK,,
1000488,198919,Choose the scale at which the user interface is being rendered.,CommonLua/Core/EngineOptions.lua(00767),,,,,,,,選擇使用者介面繪製的比例,,OK,,
1000028,194283,Antialiasing,CommonLua/Core/EngineOptions.lua(00770),,,,,,,,反鋸齒,,OK,,
1000029,194283,Choose the method of smoothing for object edges,CommonLua/Core/EngineOptions.lua(00770),,options dialog tooltip,,,,,,選擇柔化物體邊緣的算法,,OK,,
1000030,194283,Anisotropy,CommonLua/Core/EngineOptions.lua(00773),,,,,,,,材質過濾,,OK,,
1000031,194283,Choose the sharpness of building and terrain textures in the distance,CommonLua/Core/EngineOptions.lua(00773),,options dialog tooltip,,,,,,選擇遠處建築和地面材質的清晰度,,OK,,
1000032,194283,Visibility Distance,CommonLua/Core/EngineOptions.lua(00776),,,,,,,,視野,,OK,,
1000033,194283,Choose the view distance of the game,CommonLua/Core/EngineOptions.lua(00776),,options dialog tooltip,,,,,,選擇遊戲的可視距離,,OK,,
1000034,194283,Shading,CommonLua/Core/EngineOptions.lua(00779),,,,,,,,渲染,,OK,,
1000035,194283,Shading quality,CommonLua/Core/EngineOptions.lua(00779),,options dialog tooltip,,,,,,渲染品質,,OK,,
1000036,194283,Postprocessing,CommonLua/Core/EngineOptions.lua(00782),,,,,,,,後期處理,,OK,,
1000037,194283,Choose the quality of postprocessing,CommonLua/Core/EngineOptions.lua(00782),,options dialog tooltip,,,,,,選擇後期處理的品質,,OK,,
1000480,194913,Vignette,CommonLua/Core/EngineOptions.lua(00785),,,,,,,,漸暈暗角,,OK,,
1000484,195030,Bloom,CommonLua/Core/EngineOptions.lua(00788),,,,,,,,全螢幕泛光,,OK,,
1000485,195716,Enable or disable the bloom effect,CommonLua/Core/EngineOptions.lua(00788),,options dialog tooltip,,,,,,開啟或關閉全螢幕泛光,,OK,,
